Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,Final Blows / 10min,Solo Kills / 10min,"Weapon Accuracy, %","Crit Accuracy, %",Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Long Range Kills / 10min,Storm Arrow Kills / 10min,Recon Assists / 10min,Dragonstrike Kills / 10min,Venom Mine Kills / 10min,"Helix Rocket Accuracy, %",Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,Knockbacks / 10min,Sound Barriers / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,Self Healing / 10min,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Death Blossom Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Energy Javelin Kills / 10min,Terra Surge Kills / 10min,"Airtime, %",Barrage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Mercy,Silver,3.02,4.29,44.47,1.85,1.06,57,275,8315,7.66,,,,,,1.83,725.76,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Gold,3.18,5.49,50.88,1.59,0.87,57,231,8597,7.44,,,,,,1.55,758.58,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Platinum,3.52,5.8,48.76,1.82,0.97,55,272,8745,7.15,,,,,,1.79,803.82,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Diamond,3.8,5.67,51.7,1.72,0.95,53,256,8555,7.06,,,,,,1.72,874.6,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Master,3.68,7.4,51.94,1.93,0.96,54,257,8489,7.26,,,,,,1.89,819.04,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Grandmaster,3.19,5.12,44.66,1.81,1.01,52,241,8392,7.47,,,,,,1.77,829.24,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Cassidy,All,2.25,3.54,52.07,17.82,6.9,54,7863,,8.59,,,,,,,,,10.84,2.13,40,10,2.08,51.7,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Bronze,1.63,1.41,40.34,14.3,5.9,56,6597,,9.64,,,,,,,,,8.74,2.16,35,10,2.21,46.14,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Silver,1.71,1,40.86,14.74,5.96,55,6725,,9.55,,,,,,,,,9.16,2.21,35,9,2.4,50.24,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Gold,2.04,3.61,50.76,16.49,6.39,59,7225,,8.9,,,,,,,,,9.98,2.17,38,9,2.25,50.06,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Platinum,2.02,4.6,50.07,16.85,6.66,56,7352,,9.06,,,,,,,,,10.44,2.19,38,10,2.17,51.05,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Diamond,2.15,3.58,53.21,17.13,6.68,51,7841,,8.98,,,,,,,,,10.64,2.21,39,10,2.16,51.19,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Master,1.98,3.45,46.87,16.33,6.32,59,7465,,9.31,,,,,,,,,10.36,2.3,38,10,2.27,49.1,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Grandmaster,1.79,2.38,44.42,15.54,5.85,52,7063,,9.52,,,,,,,,,9.5,1.99,37,10,2.04,49.26,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,All,2.77,5.88,55.4,19.45,5.89,65,7558,,8.15,,,,,,,,,10.72,1.97,27,,,,,16.35,1671.23,0.08,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Bronze,2.2,1.57,44.39,16.33,4.77,62,7047,,8.51,,,,,,,,,8.64,1.98,25,,,,,14.08,1740.46,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Silver,2.16,1.56,45.36,15.86,4.93,65,6718,,8.52,,,,,,,,,8.22,1.97,25,,,,,13.1,1638.45,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Gold,2.46,6.32,52.46,18.29,5.77,67,7321,,8.33,,,,,,,,,9.57,1.95,27,,,,,14.94,1733.96,0.06,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Platinum,2.58,5.53,55.16,18.88,5.76,68,7489,,8.29,,,,,,,,,10.16,2,26,,,,,15.66,1875.16,0.09,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Diamond,2.69,6.72,56.45,19.35,5.71,65,7723,,8.19,,,,,,,,,10.65,1.99,26,,,,,17.06,1742.12,0.04,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Master,2.71,7.48,56.49,18.99,5.17,58,7694,,8.04,,,,,,,,,10.34,2.07,26,,,,,16.97,1785.7,0.04,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Grandmaster,3.1,4.64,54.26,19.06,4.96,64,7871,,7.85,,,,,,,,,10.68,2.07,26,,,,,17.32,1765.44,0.16,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Kiriko,All,4.44,5.24,52.33,7.93,3.62,67,2271,8386,6.4,,,,,,,,,,,29,16,,,,,,,,7.89,3.39,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Bronze,4.39,3.4,41.7,7.32,3.38,60,2003,7882,7.08,,,,,,,,,,,27,14,,,,,,,,7.28,3.2,18.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Silver,4.39,3.07,49.58,7.36,3.53,66,2002,7962,6.82,,,,,,,,,,,28,15,,,,,,,,7.32,3.22,19.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Gold,4.17,3.21,46.79,7.84,3.41,60,2187,8074,7,,,,,,,,,,,28,15,,,,,,,,7.8,3.43,19.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Platinum,4.72,6.84,53.25,7.85,3.62,67,2117,8759,6.39,,,,,,,,,,,28,15,,,,,,,,7.81,3.76,21.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Diamond,4.67,7.01,55.72,7.95,3.42,61,2235,8444,6.51,,,,,,,,,,,28,16,,,,,,,,7.9,3.76,20.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Master,4.79,3.21,48.09,7.34,3.25,57,1994,8134,6.88,,,,,,,,,,,27,15,,,,,,,,7.29,3.53,19.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Grandmaster,4.71,2.82,54.61,7.76,3.26,55,2122,8189,6.79,,,,,,,,,,,27,15,,,,,,,,7.71,3.26,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,All,6.02,7.72,51.21,18.39,8.81,90,5102,8883,6.46,,,,,,,,,,,,,,,,,,,,,,,48,8.52,46,68,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Bronze,5.51,5.35,42.52,17.17,8.46,93,4800,8472,6.81,,,,,,,,,,,,,,,,,,,,,,,45,7.87,45,68,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Silver,5.41,7.08,46.28,17.44,8.53,91,4837,8539,6.74,,,,,,,,,,,,,,,,,,,,,,,46,7.99,46,67,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Gold,5.66,8.56,51.06,18.01,8.63,89,5011,8758,6.67,,,,,,,,,,,,,,,,,,,,,,,47,8.52,46,70,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Platinum,6.11,7.89,51.35,18.64,9.06,93,5076,9093,6.33,,,,,,,,,,,,,,,,,,,,,,,47,8.58,48,68,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Diamond,6.63,9.32,50.95,19.19,9.18,93,5141,9090,6.21,,,,,,,,,,,,,,,,,,,,,,,47,8.86,46,68,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Master,6.22,7.08,51.01,18.52,9.14,93,4914,8965,6.36,,,,,,,,,,,,,,,,,,,,,,,46,8.55,46,67,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Grandmaster,6.77,4.72,47.89,18.48,8.87,95,4901,8925,6.42,,,,,,,,,,,,,,,,,,,,,,,46,8.43,45,67,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Reinhardt,All,2.99,2.22,52.2,16.27,6.48,125,7513,,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,3.76,6.29,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Bronze,3.08,2.33,47.98,15.83,6.06,126,6928,,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,3.81,5.82,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Silver,2.93,2.14,46.87,15.88,6.15,126,7114,,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,3.79,5.81,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Gold,2.97,2.64,51.37,16.04,6.39,131,7261,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,3.92,5.92,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Platinum,3.4,2.98,53.49,17.48,6.95,128,7845,,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,4.19,6.72,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Diamond,3.34,2.58,51.69,17.02,6.42,129,7820,,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,3.84,6.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Master,3.29,3.21,49.95,16.64,5.87,118,7248,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,3.93,6.03,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Grandmaster,3.09,2.96,51.69,16.16,5.95,126,7241,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,3.73,6.06,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Hanzo,All,3.03,1.77,47.3,17.77,7.05,54,7593,,8.29,,,,,,,,,11.56,2.92,33,15,,,,,,,,,,,,,,,,,,,,2.65,5.54,3.81,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Bronze,2.63,0.99,39.13,16.4,6.58,61,6944,,9.21,,,,,,,,,10.74,3.13,32,13,,,,,,,,,,,,,,,,,,,,2.38,4.85,3.89,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Silver,2.77,0.95,42.33,16.01,7.36,61,6839,,8.71,,,,,,,,,9.9,3.13,32,13,,,,,,,,,,,,,,,,,,,,2.46,4.63,3.71,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Gold,2.74,1.8,43.85,17.02,7.03,51,7399,,8.71,,,,,,,,,11.15,3.12,34,14,,,,,,,,,,,,,,,,,,,,2.49,5.06,3.59,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Platinum,2.92,1.98,44.93,17.25,6.85,54,7546,,8.61,,,,,,,,,11.23,2.97,32,15,,,,,,,,,,,,,,,,,,,,2.44,5.16,3.88,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Diamond,2.92,2.27,47.38,17.91,6.86,53,7450,,8.84,,,,,,,,,11.61,3.08,32,14,,,,,,,,,,,,,,,,,,,,2.49,5.75,3.87,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
